content.area,content.description,content.hourlyrate,content.illustration,content.image,content.indoor,content.onceoffrate,content.service,content.time,id
Bathroom,Steam cleaning and disinfecting of the bathroom in its totality. Provision of fresh towels.,30,http://clipart-library.com/newimages/bathroom-clip-art-15.jpg,https://images.unsplash.com/photo-1646592472335-fa6be8e9bc7c?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1471&q=80,TRUE,,Bathroom Deep Clean,90,0779edf9-4d02-441b-b6e2-0a08ab862359
Garden,Taking care of general gardening to provide an immaculate first impression,,http://clipart-library.com/images/6Tr8BrjTK.jpg,https://images.unsplash.com/photo-1416879595882-3373a0480b5b?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1470&q=80,FALSE,100,Gardening,120,175e2439-4a6d-4b4e-bfd5-b97b00be6204
General,Cleaning and streak removal of external windows,35,http://clipart-library.com/img1/872145.png,https://images.unsplash.com/photo-1650538250295-6ef68d7ae1f4?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1470&q=80,FALSE,,Window Cleaning - External,60,192bd3fb-d988-4a84-ada4-7c02e1f79a2d
Driveway,Car wash including vacuum,,http://clipart-library.com/new_gallery/9-95271_car-wash-comments-car-dry-wash-icon.png,https://images.unsplash.com/photo-1520340356584-f9917d1eea6f?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1631&q=80,FALSE,50,Car Washing,60,1fd98bee-4444-45a9-959a-eab75ba9ecd2
Laundry,Provision of laundry services by removal of laundry and return of laundry. Includes a surcharge for delivery.,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTLoH-sLiGa5Q2WgJLodqiqnxhGCHmNz2iTF9BOuLESQ-SGdI0&s,https://images.unsplash.com/photo-1610557892470-55d9e80c0bce?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1439&q=80,TRUE,110,Offsite laundry services,120,28ed7670-ac6b-4994-bfec-b7d6e72af58e
Laundry,"Provision of laundry services making use of client's machines. Note that where this has been booked, but machines are not available, this will automatically be adjusted to offsite laundry services.",,http://clipart-library.com/newhp/white-laundry-basket-clip-art-laundry-basket-clipart-black-and-white-clipground_a28f63e33793a653.jpg,https://images.unsplash.com/photo-1610557892470-55d9e80c0bce?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1439&q=80,TRUE,110,Onsite laundry services,120,2c7b7345-0596-4412-844a-b240f5a50f56
Lounge,"Maintain your upholstery (chair, couch and seat) in pristine condition. We use only the most delicate clearning methods.",40,http://clipart-library.com/images_k/carpet-cleaning-silhouette/carpet-cleaning-silhouette-12.png,https://images.unsplash.com/photo-1612696733290-a2a26ce8131c?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1470&q=80,TRUE,,Upholstery Cleaning,60,353ba589-52e3-4a9d-8a77-ecaf89998166
Living Room,"General cleaning of living room, returning the room to its immaculate state.",,http://clipart-library.com/new_gallery/360-3603860_living-room-icon-png.png,https://images.unsplash.com/photo-1586023492125-27b2c045efd7?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=958&q=80,TRUE,30,Living Room,45,70481875-0264-40c9-be3a-ea4cdf00798c
General,Wall washing to remove marks and cob webs,30,http://clipart-library.com/img/1255625.png,https://images.unsplash.com/photo-1517135399940-2855f5be7c4b?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=687&q=80,TRUE,,Interior Walls,60,749990b3-0081-415f-8dbc-5b91a651dddb
Bedroom,Steam cleaning and disinfecting of mattresses,50,http://clipart-library.com/image_gallery/n33691.jpg,https://images.unsplash.com/photo-1640003145136-f998284e11de?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1472&q=80,TRUE,,Mattress Cleaning,45,7549674a-04c2-4c77-9c75-86f181e6f4ba
Pool,"Cleaning of pool, including chemical treatments, sweeping and proper flush.",,http://clipart-library.com/data_images/476778.jpg,https://images.unsplash.com/photo-1562844275-857f6e7c429e?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1603&q=80,FALSE,40,Pool Cleaning,45,7adb4cc4-c05e-46f1-97b1-1122372489e3
Bedroom,"General bedroom cleaning, rubbish removal, bed making, etc.",30,http://clipart-library.com/images_k/bed-clipart-transparent/bed-clipart-transparent-16.png,https://images.unsplash.com/photo-1521783988139-89397d761dce?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1025&q=80,TRUE,,Bedroom Cleaning,90,7e026a29-a974-4cf5-9319-0b1d6bb63b9a
Reception,Cleaning and servicing of braai and reception areas,,http://clipart-library.com/img/1211001.jpg,https://images.unsplash.com/photo-1608517906802-bf5b6ae4bba6?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1470&q=80,FALSE,30,Braai and reception Areas,45,83286387-3d95-4a07-a1bd-f83f66e3a47b
Kitchen,"Deep cleaning of kitchen appliances to remove grease, grime and spills or other marks. Includes ovens, burners, fridges and microwaves.",35,http://clipart-library.com/img1/146954.gif,https://images.unsplash.com/photo-1586208958839-06c17cacdf08?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=965&q=80,TRUE,,Appliance Deep Clean,60,8c694822-cdf7-4011-985d-466595381bfe
Dining Room,"General cleaning of dining room, returning the room to its immaculate state.",,http://clipart-library.com/img/470657.jpg,https://images.unsplash.com/photo-1600607687920-4e2a09cf159d?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1470&q=80,TRUE,25,Dining Room,30,8ceef2f1-e845-4d1b-8c45-5b98977aeda0
Kitchen,"Dishwashing, general kitchen cleaning, cleaning of cookers and hobs.",30,http://clipart-library.com/img/754435.jpg,https://images.unsplash.com/photo-1579716035581-4a84864d3bdc?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1470&q=80,TRUE,,Kitchen Cleaning,60,9c087d55-21e5-4d4a-9804-8a02f00c01aa
General,Cleaning to remove stains and deep seated dirt.,50,http://clipart-library.com/img/1779019.png,https://images.unsplash.com/photo-1527515673510-8aa78ce21f9b?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1074&q=80,TRUE,,Carpet Cleaning,120,b152d5b8-7b9b-41b8-9edc-187f966dc0a3
General,"Proper washdown, dusting and cleaning of cabinets",40,http://clipart-library.com/img1/1605140.jpg,https://images.unsplash.com/photo-1599202480744-c2744ffd2b54?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=687&q=80,TRUE,,Cabinet Clean-up,90,b50b741f-dac0-41f5-b036-122ce5492132
General,Cleaning and streak removal of internal windows,35,http://clipart-library.com/img1/872145.png,https://images.unsplash.com/photo-1581578731548-c64695cc6952?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1470&q=80,TRUE,,Window Cleaning - Internal,60,c4b9389b-f9a7-4ee6-a406-41737d2100de
General,"Deep cleaning to restore not-so-obvious spaces by dusting / cleaning / removing marks on spaces like light fittings, fans, blinds and shutters.",40,http://clipart-library.com/img1/747086.png,https://images.unsplash.com/photo-1620563923430-f5845a5ddfb8?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=880&q=80,TRUE,,Deep dusting on adhoc spaces,60,c52a3e21-2264-4683-9ca5-01a6ef75c042
General,"Polishing and waxing of all types of floors, incl. wooden, concrete and stone.",40,http://clipart-library.com/new_gallery/226-2267601_cleaning-tool-illustration-cleaning-service-drawing.png,https://images.unsplash.com/photo-1493953659556-556b14bdaca8?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1633&q=80,TRUE,,Floor Polishing / Waxing,90,f576dbea-268c-4d2a-94cc-775311c17fb0